              [,1]         [,2]         [,3]         [,4]         [,5]         [,6]
[53,] 2.933986e-05 4.278591e-03 3.243719e-05 3.034224e-05 2.934335e-05 2.933985e-05
[54,] 4.116882e-04 7.960819e-01 2.632181e-02 4.707673e-04 4.118939e-04 4.116878e-04
[55,] 8.382120e-05 9.741728e-01 2.922821e-03 9.029456e-05 8.384375e-05 8.382116e-05
[56,] 8.377579e-05 9.741878e-01 2.921128e-03 9.024539e-05 8.379832e-05 8.377575e-05
[57,] 1.045502e-04 9.448363e-01 3.248236e-04 3.519091e-02 1.547118e-04 1.041544e-04
[58,] 1.259480e-05 9.970058e-01 1.325601e-05 2.848264e-03 1.274537e-05 1.259361e-05
[59,] 6.497352e-05 9.938020e-01 6.530860e-05 5.713877e-03 6.504983e-05 6.497292e-05
[60,] 2.059451e-05 1.059377e-03 2.703121e-06 9.988937e-01 2.913839e-06 2.582943e-06
[61,] 5.169491e-07 2.510138e-05 9.352119e-08 9.999736e-01 9.850817e-08 9.067699e-08
[62,] 1.166691e-04 6.060310e-04 1.541060e-06 9.992652e-01 3.454894e-06 1.530459e-06
[63,] 3.299419e-07 1.119059e-09 1.324278e-11 9.999997e-01 1.674383e-11 1.322339e-11
[64,] 2.536907e-02 2.326283e-06 2.326134e-06 9.746146e-01 2.326134e-06 2.326134e-06
[65,] 2.522842e-02 5.577451e-06 5.577380e-06 9.747325e-01 5.577380e-06 5.577380e-06
[66,] 1.114255e-01 1.756554e-02 2.583451e-04 8.675903e-01 2.116428e-03 2.588684e-04
[67,] 8.094338e-01 3.836969e-03 3.759880e-04 1.738194e-01 1.102776e-02 3.760926e-04
[68,] 1.526605e-02 1.030460e-01 2.135080e-04 8.793500e-01 1.207375e-03 2.167139e-04
[69,] 1.939748e-05 1.425873e-03 9.726334e-07 9.963574e-01 1.958156e-03 1.290502e-05
[70,] 1.938991e-05 1.425296e-03 9.725270e-07 9.963576e-01 1.958622e-03 1.290008e-05
[71,] 1.238494e-05 1.580173e-03 6.968822e-06 9.920773e-01 5.839885e-04 2.978082e-04
[72,] 1.196063e-07 2.720390e-07 1.190797e-07 4.736229e-02 1.751821e-07 1.473574e-07
[73,] 9.012652e-06 2.058948e-03 7.178763e-06 9.949718e-01 2.041917e-04 8.920060e-04
[74,] 1.019764e-03 2.824799e-01 1.019068e-03 3.785573e-01 1.127762e-03 3.320425e-01
[75,] 1.251063e-07 1.167848e-05 1.255365e-07 1.545445e-05 1.006780e-04 9.998714e-01
[76,] 1.205339e-06 1.413959e-05 5.867091e-06 2.526134e-07 9.983973e-01 1.966419e-04
[77,] 1.080671e-06 1.401540e-05 5.743005e-06 1.263205e-07 9.985219e-01 9.831959e-05
[78,] 2.451565e-02 3.395116e-01 1.391633e-01 1.010993e-03 3.299209e-01 1.043338e-03
